fecha_utc,hora_utc,fecha_local,hora_local,tipo_evento,descripcion,elevacion,azimut,planeta1,planeta2,posicion1,posicion2,tipo_aspecto,orbe,es_aplicativo,harmony,signo,grado,posicion
2025-04-13,13:54,2025-04-13,10:54,Ingreso a Signo,Luna ingresa a 0.00° de Escorpio (Directo),,,,,,,,,,,,,
2025-04-16,02:37,2025-04-15,23:37,Ingreso a Signo,Luna ingresa a 0.00° de Sagitario (Directo),,,,,,,,,,,,,
2025-04-16,06:25,2025-04-16,03:25,Ingreso a Signo,Mercurio ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2025-04-17,04:11,2025-04-17,01:11,Aspecto,Mercurio en Conjunción con Neptuno,,,Mercurio,Neptuno,0°38' Aries,0°38' Aries,Conjunción,0.00°,No,Neutro,,,
2025-04-18,04:20,2025-04-18,01:20,Ingreso a Signo,Marte ingresa a 0.00° de Leo (Directo),,,,,,,,,,,,,
2025-04-18,14:12,2025-04-18,11:12,Ingreso a Signo,Luna ingresa a 0.00° de Capricornio (Directo),,,,,,,,,,,,,
2025-04-19,19:56,2025-04-19,16:56,Ingreso a Signo,Sol ingresa a 0.00° de Tauro (Directo),,,,,,,,,,,,,
2025-04-19,22:52,2025-04-19,19:52,Aspecto,Marte en Trígono con Neptuno,,,Marte,Neptuno,0°44' Leo,0°44' Aries,Trígono,0.00°,No,Armónico,,,
2025-04-20,18:20,2025-04-20,15:20,Aspecto,Venus en Sextil con Urano,,,Venus,Urano,25°45' Piscis,25°45' Tauro,Sextil,0.00°,No,Armónico,,,
2025-04-20,21:39,2025-04-20,18:39,Aspecto,Mercurio en Sextil con Plutón,,,Mercurio,Plutón,3°46' Aries,3°46' Acuario,Sextil,0.00°,No,Armónico,,,
2025-04-20,23:21,2025-04-20,20:21,Ingreso a Signo,Luna ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2025-04-21,01:33,2025-04-20,22:33,Aspecto,Sol en Cuadratura con Marte,,,Sol,Marte,1°12' Tauro,1°12' Leo,Cuadratura,0.00°,No,Tensión,,,
2025-04-23,05:06,2025-04-23,02:06,Ingreso a Signo,Luna ingresa a 0.00° de Piscis (Directo),,,,,,,,,,,,,
2025-04-23,17:10,2025-04-23,14:10,Aspecto,Sol en Cuadratura con Plutón,,,Sol,Plutón,3°47' Tauro,3°47' Acuario,Cuadratura,0.00°,No,Tensión,,,
2025-04-25,00:01,2025-04-24,21:01,Aspecto,Venus en Conjunción con Saturno,,,Venus,Saturno,27°13' Piscis,27°13' Piscis,Conjunción,0.00°,No,Neutro,,,
2025-04-25,07:23,2025-04-25,04:23,Ingreso a Signo,Luna ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2025-04-27,01:05,2025-04-26,22:05,Aspecto,Marte en Oposición con Plutón,,,Marte,Plutón,3°48' Leo,3°48' Acuario,Oposición,0.00°,No,Tensión,,,
2025-04-27,07:16,2025-04-27,04:16,Ingreso a Signo,Luna ingresa a 0.00° de Tauro (Directo),,,,,,,,,,,,,
2025-04-27,19:31,2025-04-27,16:31,Luna Nueva,Luna nueva en Tauro 7.78°,18.7°,303.1°,,,,,,,,,Tauro,7.78°,7°46' Tauro
2025-04-29,06:34,2025-04-29,03:34,Ingreso a Signo,Luna ingresa a 0.00° de Géminis (Directo),,,,,,,,,,,,,
2025-04-30,17:15,2025-04-30,14:15,Ingreso a Signo,Venus ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2025-05-01,07:22,2025-05-01,04:22,Ingreso a Signo,Luna ingresa a 0.00° de Cáncer (Directo),,,,,,,,,,,,,
2025-05-02,17:06,2025-05-02,14:06,Aspecto,Venus en Conjunción con Neptuno,,,Venus,Neptuno,1°08' Aries,1°08' Aries,Conjunción,0.00°,No,Neutro,,,
2025-05-03,11:29,2025-05-03,08:29,Ingreso a Signo,Luna ingresa a 0.00° de Leo (Directo),,,,,,,,,,,,,
2025-05-04,14:30,2025-05-04,11:30,Inicio Retrogradación,Plutón inicia retrogradación en 3°49' Acuario,,,,,,,,,,,,,
2025-05-05,17:21,2025-05-05,14:21,Aspecto,Mercurio en Sextil con Júpiter,,,Mercurio,Júpiter,22°19' Aries,22°19' Géminis,Sextil,0.00°,No,Armónico,,,
2025-05-05,19:39,2025-05-05,16:39,Ingreso a Signo,Luna ingresa a 0.00° de Virgo (Directo),,,,,,,,,,,,,
2025-05-06,21:31,2025-05-06,18:31,Aspecto,Venus en Sextil con Plutón,,,Venus,Plutón,3°49' Aries,3°49' Acuario,Sextil,0.00°,No,Armónico,,,
2025-05-08,07:06,2025-05-08,04:06,Ingreso a Signo,Luna ingresa a 0.00° de Libra (Directo),,,,,,,,,,,,,
2025-05-10,12:15,2025-05-10,09:15,Ingreso a Signo,Mercurio ingresa a 0.00° de Tauro (Directo),,,,,,,,,,,,,
2025-05-10,19:58,2025-05-10,16:58,Ingreso a Signo,Luna ingresa a 0.00° de Escorpio (Directo),,,,,,,,,,,,,
2025-05-12,16:55,2025-05-12,13:55,Luna Llena,Luna llena en Escorpio 22.21°,-31.4°,161.0°,,,,,,,,,Escorpio,22.21°,22°12' Escorpio
2025-05-12,17:22,2025-05-12,14:22,Aspecto,Mercurio en Cuadratura con Plutón,,,Mercurio,Plutón,3°48' Tauro,3°48' Acuario,Cuadratura,0.00°,No,Tensión,,,
2025-05-13,08:34,2025-05-13,05:34,Ingreso a Signo,Luna ingresa a 0.00° de Sagitario (Directo),,,,,,,,,,,,,
2025-05-15,19:57,2025-05-15,16:57,Ingreso a Signo,Luna ingresa a 0.00° de Capricornio (Directo),,,,,,,,,,,,,
2025-05-17,23:32,2025-05-17,20:32,Aspecto,Sol en Conjunción con Urano,,,Sol,Urano,27°17' Tauro,27°17' Tauro,Conjunción,0.00°,No,Neutro,,,
2025-05-18,04:35,2025-05-18,01:35,Aspecto,Mercurio en Cuadratura con Marte,,,Mercurio,Marte,13°53' Tauro,13°53' Leo,Cuadratura,0.00°,No,Tensión,,,
2025-05-18,05:29,2025-05-18,02:29,Ingreso a Signo,Luna ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2025-05-20,09:38,2025-05-20,06:38,Aspecto,Sol en Sextil con Saturno,,,Sol,Saturno,29°37' Tauro,29°37' Piscis,Sextil,0.00°,No,Armónico,,,
2025-05-20,12:28,2025-05-20,09:28,Ingreso a Signo,Luna ingresa a 0.00° de Piscis (Directo),,,,,,,,,,,,,
2025-05-20,18:54,2025-05-20,15:54,Ingreso a Signo,Sol ingresa a 0.00° de Géminis (Directo),,,,,,,,,,,,,
2025-05-22,07:41,2025-05-22,04:41,Aspecto,Venus en Trígono con Marte,,,Venus,Marte,15°59' Aries,15°59' Leo,Trígono,0.00°,No,Armónico,,,
2025-05-22,12:39,2025-05-22,09:39,Aspecto,Sol en Sextil con Neptuno,,,Sol,Neptuno,1°40' Géminis,1°40' Aries,Sextil,0.00°,No,Armónico,,,
2025-05-22,16:25,2025-05-22,13:25,Ingreso a Signo,Luna ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
